DEVELOPMENT,TDS #,BUILDING #,BOROUGH,HOUSE #,STREET,ADDRESS,CITY,STATE,ZIP CODE,BIN,BLOCK,LOT,BOROUGH/BLOCK/LOT #,CENSUS TRACT (2010),NEIGHBORHOOD TABULATION AREA CODE,NEIGHBORHOOD TABULATION AREA NAME,COMMUNITY DISTRICT,CITY COUNCIL DISTRICT,STATE ASSEMBLY DISTRICT,STATE SENATE DISTRICT,US CONGRESSIONAL DISTRICT,LATITUDE,LONGITUDE
AUDUBON,125,1,MANHATTAN,1909,AMSTERDAM AVENUE,1909 AMSTERDAM AVENUE,NEW YORK,NY,10032,1061681,2068,46,1020680046,23501,MN04,Hamilton Heights,9,7,71,30,13,40.8311196845247,-73.9430356003667
BAILEY AVENUE-WEST 193RD STREET,202,1,BRONX,2663,HEATH AVENUE,2663 HEATH AVENUE,BRONX,NY,10463,2092440,3239,4,2032390004,269,BX30,Kingsbridge Heights,7,14,86,33,13,40.8702683562971,-73.9063281311958
BAISLEY PARK,91,1,QUEENS,164-01,FOCH BOULEVARD,164-01 FOCH BOULEVARD,JAMAICA,NY,11434,4435294,12335,44,4123350044,278,QN76,Baisley Park,12,28,32,14,5,40.6849414667049,-73.782305404418
BAISLEY PARK,91,2,QUEENS,163-11,FOCH BOULEVARD,163-11 FOCH BOULEVARD,JAMAICA,NY,11434,4435293,12335,44,4123350044,278,QN76,Baisley Park,12,28,32,14,5,40.6848197203693,-73.7828152728814
BAISLEY PARK,91,3,QUEENS,116-80,GUY BREWER BOULEVARD,116-80 GUY BREWER BOULEVARD,JAMAICA,NY,11434,4435282,12235,22,4122350022,278,QN76,Baisley Park,12,28,32,10,5,40.6845215286736,-73.7836695430867
BAISLEY PARK,91,4,QUEENS,116-40,GUY BREWER BOULEVARD,116-40 GUY BREWER BOULEVARD,JAMAICA,NY,11434,4435280,12235,22,4122350022,278,QN76,Baisley Park,12,28,32,10,5,40.6853500243736,-73.7841470390425
BAISLEY PARK,91,5,QUEENS,116-30,GUY BREWER BOULEVARD,116-30 GUY BREWER BOULEVARD,JAMAICA,NY,11434,4529903,12235,22,4122350022,278,QN76,Baisley Park,12,28,32,10,5,40.685827817771,-73.7845266698237
BARUCH,60,1,MANHATTAN,605,FDR DRIVE,605 FDR DRIVE,NEW YORK,NY,10002,1078027,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7182430408996,-73.975402908457
BARUCH,60,1,MANHATTAN,595,FDR DRIVE,595 FDR DRIVE,NEW YORK,NY,10002,1078027,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7180683200015,-73.9754392317962
BARUCH,60,2,MANHATTAN,577,FDR DRIVE,577 FDR DRIVE,NEW YORK,NY,10002,1078028,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7174442527032,-73.9759106958717
BARUCH,60,2,MANHATTAN,571,FDR DRIVE,571 FDR DRIVE,NEW YORK,NY,10002,1078028,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7172878992285,-73.9758261470035
BARUCH,60,3,MANHATTAN,555,FDR DRIVE,555 FDR DRIVE,NEW YORK,NY,10002,1078029,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.716804635518,-73.9762304832416
BARUCH,60,3,MANHATTAN,549,FDR DRIVE,549 FDR DRIVE,NEW YORK,NY,10002,1078029,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7166436805026,-73.9761278070402
BARUCH,60,4,MANHATTAN,525,FDR DRIVE,525 FDR DRIVE,NEW YORK,NY,10002,1078030,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7159179900428,-73.9766685474715
BARUCH,60,4,MANHATTAN,521,FDR DRIVE,521 FDR DRIVE,NEW YORK,NY,10002,1078030,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7157524386238,-73.9765719161274
BARUCH,60,5,MANHATTAN,64,BARUCH DRIVE,64 BARUCH DRIVE,NEW YORK,NY,10002,1078031,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.716391143906,-73.9774763342272
BARUCH,60,5,MANHATTAN,60,BARUCH DRIVE,60 BARUCH DRIVE,NEW YORK,NY,10002,1078031,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7161842232737,-73.9774461892916
BARUCH,60,6,MANHATTAN,308,DELANCEY STREET,308 DELANCEY STREET,NEW YORK,NY,10002,1083421,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7162764069284,-73.9781904909203
BARUCH,60,6,MANHATTAN,312,DELANCEY STREET,312 DELANCEY STREET,NEW YORK,NY,10002,1083421,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.716106281967,-73.9782207614135
BARUCH,60,7,MANHATTAN,72,BARUCH DRIVE,72 BARUCH DRIVE,NEW YORK,NY,10002,1078032,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7172266362973,-73.9780402821056
BARUCH,60,7,MANHATTAN,70,BARUCH DRIVE,70 BARUCH DRIVE,NEW YORK,NY,10002,1078032,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7170748800714,-73.977943640892
BARUCH,60,8,MANHATTAN,90,BARUCH DRIVE,90 BARUCH DRIVE,NEW YORK,NY,10002,1078033,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7179186514213,-73.9774036223878
BARUCH,60,8,MANHATTAN,80,BARUCH DRIVE,80 BARUCH DRIVE,NEW YORK,NY,10002,1078033,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7177577010491,-73.9773190709805
BARUCH,60,9,MANHATTAN,120,BARUCH DRIVE,120 BARUCH DRIVE,NEW YORK,NY,10002,1078034,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7188282611084,-73.9771032447365
BARUCH,60,9,MANHATTAN,110,BARUCH DRIVE,110 BARUCH DRIVE,NEW YORK,NY,10002,1078034,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7186627332937,-73.9771274743899
BARUCH,60,10,MANHATTAN,105,BARUCH DRIVE,105 BARUCH DRIVE,NEW YORK,NY,10002,1078035,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7186542199522,-73.9778228898787
BARUCH,60,10,MANHATTAN,95,BARUCH DRIVE,95 BARUCH DRIVE,NEW YORK,NY,10002,1078035,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7184840948793,-73.9778471192095
BARUCH,60,11,MANHATTAN,79,BARUCH DRIVE,79 BARUCH DRIVE,NEW YORK,NY,10002,1078036,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7177652124095,-73.9784739840157
BARUCH,60,11,MANHATTAN,75,BARUCH DRIVE,75 BARUCH DRIVE,NEW YORK,NY,10002,1078036,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7175950826623,-73.9784740389627
BARUCH,60,12,MANHATTAN,296,DELANCEY STREET,296 DELANCEY STREET,NEW YORK,NY,10002,1078037,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7168558753309,-73.9787101654729
BARUCH,60,12,MANHATTAN,298,DELANCEY STREET,298 DELANCEY STREET,NEW YORK,NY,10002,1078037,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7167409258688,-73.9787283312581
BARUCH,60,13,MANHATTAN,288,DELANCEY STREET,288 DELANCEY STREET,NEW YORK,NY,10002,1078038,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7165995943127,-73.9794517066471
BARUCH,60,13,MANHATTAN,292,DELANCEY STREET,292 DELANCEY STREET,NEW YORK,NY,10002,1078038,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7164294571608,-73.9794154999501
BARUCH,60,14,MANHATTAN,60,COLUMBIA STREET,60 COLUMBIA STREET,NEW YORK,NY,10002,1078039,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.716864363381,-73.9800881732974
